timestamp,user_id,content,activities,tone_analysis,wellbeing_score
2025-03-15T18:10:21.180183,12345,Today I went running and I feel sad,"running, feel",,20
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T18:10:26.775848,12345,Today I watched a movie and I feel happy,"watched movie, feel",,100
2025-03-15T23:54:29.445500,12345,"Hello, I had a good day today.",,,100
2025-03-15T23:54:49.939218,12345,I had a terrible day today,,,20
2025-03-16T04:19:55.544597,12345,Do.,Do,"{'angry': 0.05, 'calm': 0.17, 'disgust': 0.22, 'fearful': 0.07, 'happy': 0.17, 'neutral': 0.06, 'sad': 0.16, 'surprised': 0.1}",48
2025-03-16T09:09:03.557115,12345,"Hello, I played football. Today was a good day.",played football,,97
2025-03-16T09:09:29.165883,12345,Hello. Today was a good day.,,"{'angry': 0.13, 'calm': 0.05, 'disgust': 0.09, 'fearful': 0.24, 'happy': 0.3, 'neutral': 0.0, 'sad': 0.12, 'surprised': 0.07}",94
2025-03-16T10:31:21.675150,12345,"Hello, I played football today, and I feel good. ","played football, feel",,71
2025-03-16T10:41:16.563471,12345,"Hello, today I played football and I was happy.",played football,,100
2025-03-16T10:41:40.348624,12345,Hello? Hello? Hello? Testing. Can you guys hear me?,hear me,"{'angry': 0.2, 'calm': 0.06, 'disgust': 0.11, 'fearful': 0.2, 'happy': 0.33, 'neutral': 0.0, 'sad': 0.05, 'surprised': 0.05}",55
